resource_id,type,tag_name,tag_value,delete(y/n)
vpc-0d3848aa67423bfd6,vpc,Name,learning-1,y
vpc-0d3848aa67423bfd6,vpc,env,dev,
igw-080300a4eeb8a57da,internet_gateway,Name,learning-igw,
eni-0035155251fdc77ba,network_interface,null,null,
ami-0f5a4bac4d9aa811b,image,env,test-image,
vol-034e5eb4261a48160,volume,null,null,
rtb-045743c16d038c93f,route_table,Name,learning-public-route,
sg-0e19748857bed65ba,security_group,null,null,
snap-07a359cec5f2c8ddd,snapshot,env,test-image,
cgw-0d39de23f2e9d527e,customer_gateway,Name,test-customer-gateway,
sg-f2cd0f80,security_group,null,null,
vpc-afda5ac4,vpc,Env,dev,
subnet-282dcb55,subnet,null,null,
subnet-60fbb52c,subnet,null,null,
vol-02d9b8e03ad85aaee,volume,Name,learning-1-ec2-1,
i-0258ed28244d262e7,instance,Name,learning-1-ec2-2,
eni-0b75fdd453af17340,network_interface,null,null,
2c526436-5ee6-4037-87e0-5414960a71b0,reserved_instance,null,null,
subnet-0ba87e560a70ce558,subnet,Name,10.0.1.0 - us-east-2a,
sg-064a6a86092af7e9a,security_group,null,null,
i-029f94b791ab3af26,instance,null,null,
acl-022e01fce36f22878,network_acl,Name,learning-1-nacl,
subnet-0dfe3093a47fab485,subnet,Name,10.0.2.0 - us-east-2b,
subnet-02b71f69,subnet,null,null,
vgw-06ed2cc9fb0e4e410,vpn_gateway,Name,learning-vp,
i-0e32be7edac873d3a,instance,Name,learning-1-ec2-1,
sg-0c59de7406e788d86,security_group,null,null,
vol-0388bb76a4fa4ca40,volume,Name,learning-1-ec2-2,
eni-01680cb447d4165b4,network_interface,null,null,
snap-0905419dde1a46329,snapshot,enc,dev,
sg-026343d2b9f544d61,security_group,null,null,
eni-0468f8d0431e2efde,network_interface,null,null,
vpc-0d3848aa67423bfd6,vpc,name,learning-11,